scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,setting,Script
scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,setting,Script
1,DallE3,51.65,3.21,16.88,3.58,8.23,disaster,after school club,"Jessie stayed late at the after-school club, waiting for her mom to pick her up.As the clock ticked past six, a storm began to howl outside, flooding the streets quickly.She realized her phone battery was dead, leaving her unable to call for help.Jessie looked around the empty room and thought, ""How big is this problem?"""
1,GPTimage,61.01,3.21,19.75,7.15,4.91,disaster,after school club,"Jessie stayed late at the after-school club, waiting for her mom to pick her up.As the clock ticked past six, a storm began to howl outside, flooding the streets quickly.She realized her phone battery was dead, leaving her unable to call for help.Jessie looked around the empty room and thought, ""How big is this problem?"""
2,DallE3,56.96,4.76,17.29,3.38,8.61,disaster,dancing,"Emily was excited for her dance recital, the highlight of her year.Just before she went on stage, a fire broke out backstage, causing chaos.Everyone was evacuated, and Emily couldn't find her parents in the confusion.Standing alone, Emily asked herself, 'How big is this problem?'"
2,GPTimage,65.79,4.76,22.92,7.07,4.04,disaster,dancing,"Emily was excited for her dance recital, the highlight of her year.Just before she went on stage, a fire broke out backstage, causing chaos.Everyone was evacuated, and Emily couldn't find her parents in the confusion.Standing alone, Emily asked herself, 'How big is this problem?'"
3,DallE3,57.89,5.00,18.72,3.65,9.64,disaster,curling,"Tyler was heading to his first-ever curling match, an exciting day since he'd practiced so hard.As the match began, one of the large ice sheets suddenly cracked under the weight of a heavy stone, sending Tyler and his teammates scrambling back.Everyone was stunned, realizing the crack had compromised the entire rink, making it unsafe to continue.Tyler stood there, clutching his broom, asking himself, 'How big is this problem?'"
3,GPTimage,73.61,5.00,20.89,8.54,5.47,disaster,curling,"Tyler was heading to his first-ever curling match, an exciting day since he'd practiced so hard.As the match began, one of the large ice sheets suddenly cracked under the weight of a heavy stone, sending Tyler and his teammates scrambling back.Everyone was stunned, realizing the crack had compromised the entire rink, making it unsafe to continue.Tyler stood there, clutching his broom, asking himself, 'How big is this problem?'"
4,DallE3,58.86,6.24,21.29,4.60,8.75,disaster,field trip,"Jessie was on a school field trip to the mountains, excited for the hike ahead.Halfway up the trail, the weather suddenly turned; dark clouds gathered rapidly, and heavy rain began pouring down.The path became slippery, and a flash flood warning filled the air with tension.Jessie looked at the other kids, their faces worried, and thought, ""How big is this problem?"""
4,GPTimage,68.58,6.24,17.99,8.31,4.72,disaster,field trip,"Jessie was on a school field trip to the mountains, excited for the hike ahead.Halfway up the trail, the weather suddenly turned; dark clouds gathered rapidly, and heavy rain began pouring down.The path became slippery, and a flash flood warning filled the air with tension.Jessie looked at the other kids, their faces worried, and thought, ""How big is this problem?"""
5,DallE3,53.84,5.09,18.47,3.75,8.58,disaster,field trip,"Emily, a 9-year-old, was on her school field trip to the science museum, excited for a day of exploration.As the bus drove over the bridge, it suddenly stopped, leading to concerned whispers among the students.The teacher announced that the bridge was damaged, and the bus couldn't move further.Emily felt a wave of fear and asked herself, 'How big is this problem?'"
5,GPTimage,63.39,5.09,17.94,7.48,4.82,disaster,field trip,"Emily, a 9-year-old, was on her school field trip to the science museum, excited for a day of exploration.As the bus drove over the bridge, it suddenly stopped, leading to concerned whispers among the students.The teacher announced that the bridge was damaged, and the bus couldn't move further.Emily felt a wave of fear and asked herself, 'How big is this problem?'"
6,DallE3,58.35,4.58,18.73,3.57,9.39,disaster,art,"Samantha carefully painted her masterpiece during art class, hoping to win the upcoming school art competition.Just as she finished, a classmate accidentally knocked over a bottle of paint, spilling all over her work.The colorful mess ruined weeks of hard work, and Samantha felt a knot of fear and despair in her stomach.As her heart raced, she wondered, 'How big is this problem?'"
6,GPTimage,73.97,4.58,22.08,13.12,5.15,disaster,art,"Samantha carefully painted her masterpiece during art class, hoping to win the upcoming school art competition.Just as she finished, a classmate accidentally knocked over a bottle of paint, spilling all over her work.The colorful mess ruined weeks of hard work, and Samantha felt a knot of fear and despair in her stomach.As her heart raced, she wondered, 'How big is this problem?'"
7,DallE3,60.44,5.12,19.68,3.52,8.78,disaster,singing,"Lucas had practiced for weeks for the big concert at his school auditorium.As he began to sing, the lights suddenly flickered, and the sound system failed.In the chaos, a large stage prop fell, narrowly missing him and his fellow performers.With the audience gasping, Lucas thought to himself, ""How big is this problem?"""
7,GPTimage,69.34,5.12,23.34,7.03,4.48,disaster,singing,"Lucas had practiced for weeks for the big concert at his school auditorium.As he began to sing, the lights suddenly flickered, and the sound system failed.In the chaos, a large stage prop fell, narrowly missing him and his fellow performers.With the audience gasping, Lucas thought to himself, ""How big is this problem?"""
8,DallE3,51.77,4.58,13.72,3.57,9.37,disaster,volleyball,"Liam was enjoying a friendly volleyball match at the beach with his friends when suddenly, a storm started brewing.As the sky turned darker, strong winds blew sand into everyone's eyes, causing panic among the group.Amidst the chaos, a huge wave crashed onto the shore, sweeping away their belongings, including phones and wallets.Standing there, drenched and worried, Liam thought, 'How big is this problem?'"
