scenario,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script
1,63.78,4.52,27.51,3.54,8.67,bummer,bummer,basketball,"Alex, a 15-year-old, was eagerly preparing for his basketball game at the school gym.He had been practicing for weeks to impress his coach and earn a spot on the starting lineup.Just moments before the game, Alex realized he had forgotten to bring his lucky shoes.Standing there, Alex thought to himself, ""How big is this problem?"""
2,56.84,6.07,20.66,3.45,7.78,bummer,bummer,after school club,"After school, Julia was excited to join her art club with her best friends.She hung up her art project on the board, proud to show what she’d worked on for weeks.But as the teacher began to pass back the work, Julia’s project was missing.Heart sinking, Julia thought to herself, 'How big is this problem?'"
3,56.01,5.34,18.37,3.5,8.06,bummer,bummer,basketball,"In a neighborhood park, Jake was practicing basketball for his school's upcoming match.He was excited until he noticed that his sneakers had a small tear, making dribbling difficult.Frustrated, Jake wondered how he would perform without proper shoes for the game.He sat down and asked himself, ""How big is this problem?"""
4,101.62,4.8,65.32,3.5,8.01,bummer,bummer,lacrosse,"In the middle of a sunny school day, Mia realized she forgot her lacrosse gear at home.Her big game against the rival team was after lunch, and she knew she wouldn't have time to go back and get it.Mia's friends tried to cheer her up, offering to lend her some equipment.As she sat on the bench, Mia thought, 'How big is this problem?'"
5,62.11,7.49,20.07,3.34,7.88,bummer,bummer,dancing,"Emma was excitedly getting ready for her big dance recital at school.But just as she was about to step on stage, she realized she had forgotten her dance slippers at home.Her friend offered to run back to the dressing room to check for spare shoes, but Emma felt a twist of anxiety in her stomach.Taking a deep breath, she wondered, 'How big is this problem?'"
6,56.93,5.16,19.25,3.27,7.72,bummer,bummer,playing video game,"Jamie was eagerly playing a new video game at home when his screen suddenly froze.He tried restarting the game but realized his progress was completely lost.His character's achievements, which took him a week to earn, vanished instantly.Sitting in disbelief, Jamie wondered, ""How big is this problem?"""
7,56.81,6.54,19.93,3.28,8.52,bummer,bummer,field trip,"Jasmine was excited about her class field trip to the zoo today.As they arrived, she realized she had left her lunch at home.Her friends offered to share, but she felt embarrassed asking for food.Jasmine wondered, ""How big is this problem?"""
8,60.21,5.54,21.25,6.49,7.97,bummer,bummer,tryout,"Jamie was really excited for the soccer tryouts at the school field.During tryouts, he stumbled and missed an important goal.Feeling embarrassed and upset, he walked off the field with his head down.Jamie thought to himself, 'How big is this problem?'"
9,58.65,3.12,18.34,3.65,7.71,bummer,bummer,ski,"Emily was excited to hit the slopes on her ski vacation.While skiing down a gentle hill, she lost one of her skis.She tried to find it but the snow made it difficult to see where it went.As she looked around, she thought to herself, 'How big is this problem?'"
10,59.32,5.62,21.71,3.36,7.71,bummer,bummer,class,"Sophie was in class, staring at the empty space where her homework should have been.She remembered clearly leaving it on the kitchen table that morning.Now, she felt a wave of panic as she realized she might lose points for turning it in late.Sophie asked herself, ""How big is this problem?"""
