scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script,Video Path
1,DallE3,59.35,5.77,22.94,3.64,8.24,glitch,bummer,tryout,"Alex felt nervous as he stepped into the gym for the basketball tryouts.He practiced a lot, but today his sneakers were making a squeaky noise with every move.The sound echoed across the gym, making him feel embarrassed.He wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_1_DallE3.mp4
1,GPTimage,68.09,5.77,18.76,7.16,4.25,glitch,bummer,tryout,"Alex felt nervous as he stepped into the gym for the basketball tryouts.He practiced a lot, but today his sneakers were making a squeaky noise with every move.The sound echoed across the gym, making him feel embarrassed.He wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_1_GPTimage.mp4
2,DallE3,59.4,4.68,20.69,3.2,11.8,glitch,glitch,birthday party,"It was Mia's birthday party, and she was excited to blow out the candles.Suddenly, Mia noticed that one of her balloons had popped.She felt a bit sad because it was her favorite color.Mia thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_2_DallE3.mp4
2,GPTimage,67.35,4.68,19.04,6.57,3.69,glitch,bummer,birthday party,"It was Mia's birthday party, and she was excited to blow out the candles.Suddenly, Mia noticed that one of her balloons had popped.She felt a bit sad because it was her favorite color.Mia thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_2_GPTimage.mp4
3,DallE3,53.05,5.36,18.06,3.38,7.84,glitch,bummer,class,"Liam was sitting in class when he realized he forgot his lunch at home.His stomach began to growl, and he felt a little embarrassed.He wondered if he'd have to wait until he got home to eat.Liam thought, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_3_DallE3.mp4
3,GPTimage,61.04,5.36,18.4,7.04,3.47,glitch,bummer,class,"Liam was sitting in class when he realized he forgot his lunch at home.His stomach began to growl, and he felt a little embarrassed.He wondered if he'd have to wait until he got home to eat.Liam thought, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_3_GPTimage.mp4
4,DallE3,58.12,4.85,19.69,3.49,7.52,glitch,glitch,tennis,"Emma was excited to play tennis with her friends after school.As they started the match, she noticed her shoelace was untied.Emma paused the game to fix it, feeling a little embarrassed.She wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_4_DallE3.mp4
4,GPTimage,67.35,4.85,22.57,7.03,3.55,glitch,glitch,tennis,"Emma was excited to play tennis with her friends after school.As they started the match, she noticed her shoelace was untied.Emma paused the game to fix it, feeling a little embarrassed.She wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_4_GPTimage.mp4
5,DallE3,57.46,6.39,20.9,3.98,7.85,glitch,bummer,basketball,"Alex was dribbling the basketball across the court, feeling confident in his team's practice.As he went for a layup, his shoe suddenly came untied and he tripped over his own feet.He fell to the ground, the basketball rolling away, and his friends started laughing.Alex sat up, feeling embarrassed, and thought, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_5_DallE3.mp4
5,GPTimage,66.46,6.39,18.33,7.7,4.43,glitch,bummer,basketball,"Alex was dribbling the basketball across the court, feeling confident in his team's practice.As he went for a layup, his shoe suddenly came untied and he tripped over his own feet.He fell to the ground, the basketball rolling away, and his friends started laughing.Alex sat up, feeling embarrassed, and thought, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_5_GPTimage.mp4
